Time, Wsp
2020-03-06 12:05,4.2
2020-03-06 12:05,4
2020-03-06 12:05,4.2
2020-03-06 12:05,4.3
2020-03-06 12:05,4.5
2020-03-06 12:05,4.2
2020-03-06 12:05,3.4
2020-03-06 12:06,3.1
2020-03-06 12:06,3.4
2020-03-06 12:06,3.4
2020-03-06 12:06,3.4
2020-03-06 12:06,3.4
2020-03-06 12:06,3.2
2020-03-06 12:06,3.3
2020-03-06 12:06,3.3
2020-03-06 12:06,3.5
2020-03-06 12:06,3.7
2020-03-06 12:06,3.5
2020-03-06 12:06,3.6
2020-03-06 12:07,4
2020-03-06 12:07,3.8
2020-03-06 12:07,3.7
2020-03-06 12:07,3.1
2020-03-06 12:07,3.3
2020-03-06 12:07,3.5
2020-03-06 12:07,3.5
2020-03-06 12:07,3.3
2020-03-06 12:07,3.2
2020-03-06 12:07,3
2020-03-06 12:07,3.2
2020-03-06 12:07,3.4
2020-03-06 12:08,3.5
2020-03-06 12:08,3.4
2020-03-06 12:08,3.3
2020-03-06 12:08,3.4
2020-03-06 12:08,3.1
2020-03-06 12:08,3.2
2020-03-06 12:08,3
2020-03-06 12:08,3.3
2020-03-06 12:08,3.7
2020-03-06 12:08,3.3
2020-03-06 12:08,3.6
2020-03-06 12:08,3.3
2020-03-06 12:09,3.2
2020-03-06 12:09,3.2
2020-03-06 12:09,3.2
2020-03-06 12:09,3.6
2020-03-06 12:09,3.3
2020-03-06 12:09,3.4
2020-03-06 12:09,3.1
2020-03-06 12:09,3
2020-03-06 12:09,3.3
2020-03-06 12:09,3.1
2020-03-06 12:09,3.2
2020-03-06 12:09,3
2020-03-06 12:10,3.2
2020-03-06 12:10,3
2020-03-06 12:10,3.1
2020-03-06 12:10,3.4
2020-03-06 12:10,3.5
2020-03-06 12:10,3.2
2020-03-06 12:10,3.3
2020-03-06 12:10,3.3
2020-03-06 12:10,3
2020-03-06 12:10,3.2
2020-03-06 12:10,3.5
2020-03-06 12:10,3.3
2020-03-06 12:11,2.7
2020-03-06 12:11,2.6
2020-03-06 12:11,2.5
2020-03-06 12:11,2.6
2020-03-06 12:11,2.2
2020-03-06 12:11,2.6
2020-03-06 12:11,2.7
2020-03-06 12:11,2.5
2020-03-06 12:11,2.3
2020-03-06 12:11,2.7
2020-03-06 12:11,2.8
2020-03-06 12:11,2.4
2020-03-06 12:12,2.6
2020-03-06 12:12,2.7
2020-03-06 12:12,2.9
2020-03-06 12:12,2.6
2020-03-06 12:12,2.6
2020-03-06 12:12,2.4
2020-03-06 12:12,2.8
2020-03-06 12:12,2.8
2020-03-06 12:12,2.5
2020-03-06 12:12,2.2
2020-03-06 12:12,2.5
2020-03-06 12:12,2
2020-03-06 12:13,2
2020-03-06 12:13,2.6
2020-03-06 12:13,2.7
2020-03-06 12:13,2.7
2020-03-06 12:13,2.4
2020-03-06 12:13,2.4
2020-03-06 12:13,2.8
2020-03-06 12:13,2.8
2020-03-06 12:13,2.6
2020-03-06 12:13,2.7
2020-03-06 12:13,2.5
2020-03-06 12:13,2.3
