TOA5,CR1000,CR1000,8841,CR1000.Std.25,CPU:lab6_CS.CR1,58691,CS
TIMESTAMP,RECORD,Batt_Volt_Min,T_CS,RH_CS,,,
TS,RN,Volts,degC,%,,,
,,Min,Smp,Smp,,,
2020-02-14 11:15,108,13.17,23.83,33.14,,,
2020-02-14 11:15,109,13.17,23.81,33.17,,,
2020-02-14 11:15,110,13.18,23.81,33.04,,,
2020-02-14 11:15,111,13.18,23.83,33,,,
2020-02-14 11:15,112,13.17,23.85,32.73,,,
2020-02-14 11:15,113,13.17,23.83,32.16,,,
2020-02-14 11:16,114,13.17,23.81,31.73,,,
2020-02-14 11:16,115,13.17,23.8,30.95,,,
2020-02-14 11:16,116,13.17,23.78,30.46,,,
2020-02-14 11:16,117,13.17,23.86,29.53,,,
2020-02-14 11:16,118,13.17,23.76,29.15,,,
2020-02-14 11:16,119,13.17,23.83,28.34,,,
2020-02-14 11:16,120,13.17,23.86,27.96,,,
2020-02-14 11:16,121,13.18,23.81,27.27,,,
2020-02-14 11:16,122,13.17,23.83,26.74,,,
2020-02-14 11:16,123,13.17,23.76,26.39,,,
2020-02-14 11:16,124,13.17,23.78,25.88,,,
2020-02-14 11:16,125,13.17,23.81,25.66,,,
2020-02-14 11:16,126,13.17,23.8,25.2,,,
2020-02-14 11:16,127,13.17,23.8,24.99,,,
2020-02-14 11:16,128,13.17,23.8,24.69,,,
2020-02-14 11:16,129,13.17,23.78,24.55,,,
2020-02-14 11:16,130,13.17,23.86,24.32,,,
2020-02-14 11:16,131,13.17,23.8,24.13,,,
2020-02-14 11:16,132,13.17,23.76,23.96,,,
2020-02-14 11:16,133,13.17,23.86,23.79,,,
2020-02-14 11:16,134,13.17,23.88,23.69,,,
2020-02-14 11:16,135,13.17,23.76,23.54,,,
2020-02-14 11:16,136,13.17,23.81,23.47,,,
2020-02-14 11:16,137,13.17,23.76,23.37,,,
2020-02-14 11:16,138,13.17,23.78,23.3,,,
2020-02-14 11:16,139,13.17,23.78,23.13,,,
2020-02-14 11:16,140,13.17,23.8,23.06,,,
2020-02-14 11:16,141,13.18,23.8,22.92,,,
2020-02-14 11:16,142,13.17,23.8,22.81,,,
2020-02-14 11:16,143,13.18,23.85,22.74,,,
2020-02-14 11:16,144,13.17,23.8,22.62,,,
2020-02-14 11:16,145,13.17,23.83,22.55,,,
2020-02-14 11:16,146,13.17,23.85,22.48,,,
2020-02-14 11:16,147,13.17,23.83,22.4,,,
2020-02-14 11:16,148,13.17,23.85,22.35,,,
2020-02-14 11:16,149,13.17,23.88,22.3,,,
2020-02-14 11:16,150,13.17,23.85,22.21,,,
2020-02-14 11:16,151,13.17,23.88,22.2,,,
2020-02-14 11:16,152,13.17,23.85,22.06,,,
2020-02-14 11:16,153,13.17,23.85,21.77,,,
2020-02-14 11:16,154,13.17,23.85,21.52,,,
2020-02-14 11:16,155,13.17,23.85,20.99,,,
2020-02-14 11:16,156,13.17,23.85,20.67,,,
2020-02-14 11:16,157,13.16,23.85,20.09,,,
2020-02-14 11:16,158,13.16,23.85,19.85,,,
2020-02-14 11:16,159,13.17,23.88,19.43,,,
2020-02-14 11:16,160,13.17,23.85,19.14,,,
2020-02-14 11:16,161,13.17,23.88,18.6,,,
2020-02-14 11:16,162,13.17,23.83,18.24,,,
2020-02-14 11:16,163,13.17,23.85,18.07,,,
2020-02-14 11:16,164,13.17,23.87,17.85,,,
2020-02-14 11:16,165,13.17,23.88,17.72,,,
2020-02-14 11:16,166,13.17,23.87,17.63,,,
2020-02-14 11:16,167,13.17,23.86,17.53,,,
2020-02-14 11:16,168,13.17,23.85,17.48,,,
2020-02-14 11:16,169,13.17,23.88,17.51,,,
2020-02-14 11:16,170,13.17,23.86,17.48,,,
2020-02-14 11:16,171,13.17,23.85,17.51,,,
2020-02-14 11:16,172,13.17,23.85,17.56,,,
